Date,Close/Last,Volume,Open,High,Low
07/31/2026,$308.91,132489100,$304.81,$310.69,$300.00
07/30/2026,$333.43,74817790,$333.10,$334.75,$329.59
07/29/2026,$338.19,56090840,$339.73,$344.5699,$337.3501
07/28/2026,$340.08,51859040,$340.03,$342.89,$335.60
07/27/2026,$336.91,49604300,$334.54,$339.57,$334.02
07/24/2026,$333.02,47489420,$321.79,$334.37,$321.62
07/23/2026,$321.66,40840780,$321.73,$323.30,$319.35
07/22/2026,$325.89,38755930,$327.87,$328.9995,$323.34
07/21/2026,$327.74,41338920,$323.13,$329.60,$322.2204
07/20/2026,$326.59,53468010,$333.505,$333.71,$323.68
07/17/2026,$333.74,63407060,$331.98,$334.99,$329.0006
07/16/2026,$333.26,62970620,$328.005,$334.68,$326.79
07/15/2026,$327.50,60957640,$317.615,$328.73,$317.32
07/14/2026,$314.86,36336830,$313.76,$316.19,$311.91
07/13/2026,$317.31,43257800,$317.015,$323.45,$315.78
07/10/2026,$315.32,34132320,$314.72,$316.91,$312.17
07/09/2026,$316.22,48124490,$310.51,$316.53,$308.16
07/08/2026,$313.39,41323480,$311.91,$314.82,$307.05
07/07/2026,$310.66,42490000,$315.29,$315.48,$310.15
07/06/2026,$312.66,53589980,$307.36,$314.20,$307.00
07/02/2026,$308.63,75400630,$294.12,$309.42,$293.68
07/01/2026,$294.38,50164230,$293.44,$296.59,$289.195
